#{"t_start": 1776437778.5549152, "env_id": "None"}
r,l,t,reached,grasp_success
295.220266,5,409.610454,True,True
297.307967,3,410.219321,True,True
299.0,1,410.780756,True,True
-143.779597,100,412.670758,False,False
299.0,1,413.236948,True,True
299.50693,2,413.838155,True,True
298.404479,2,414.425731,True,True
298.737835,2,415.011371,True,True
296.457519,6,415.661618,True,True
301.122747,2,416.245646,True,True
297.210413,5,416.889733,True,True
105.368507,26,417.81325,True,False
268.797209,13,418.569957,True,True
299.0,1,419.141661,True,True
299.0,1,419.837207,True,True
186.974454,57,421.305063,True,True
300.029929,3,421.92091,True,True
267.902753,24,422.858928,True,True
300.973754,2,423.437267,True,True
298.694213,2,424.02762,True,True
297.328698,3,424.648067,True,True
298.608898,2,425.240655,True,True
301.037184,2,425.8303,True,True
299.0,1,426.418697,True,True
291.145031,9,427.150579,True,True
298.434143,2,427.741562,True,True
301.08044,2,428.315742,True,True
298.864791,4,428.938312,True,True
301.090247,2,429.520292,True,True
299.954679,3,430.123461,True,True
299.0,1,430.716724,True,True
299.0,1,431.289058,True,True
299.0,1,431.870799,True,True
300.849663,2,432.468094,True,True
299.0,1,433.045117,True,True
297.339478,4,433.651437,True,True
139.267912,2,434.570861,True,False
299.0,1,435.142541,True,True
298.280438,2,435.738471,True,True
299.634487,2,436.313489,True,True
293.460094,7,436.996573,True,True
301.152057,2,437.579045,True,True
294.822091,5,438.203649,True,True
301.102047,2,438.775368,True,True
298.79364,4,439.391566,True,True
300.770102,2,439.973133,True,True
299.0,1,440.551064,True,True
299.843364,3,441.17465,True,True
298.429279,2,441.775486,True,True
299.0,1,442.366734,True,True
299.0,1,442.942215,True,True
297.408811,4,443.555287,True,True
299.0,1,444.105369,True,True
299.0,1,444.680222,True,True
299.669181,2,445.275924,True,True
299.0,1,445.848995,True,True
297.216338,4,446.489991,True,True
299.427306,2,447.070266,True,True
290.247973,11,447.821418,True,True
298.71168,4,448.453457,True,True
293.144138,9,449.159167,True,True
300.92165,2,449.763499,True,True
298.635421,4,450.386706,True,True
300.73969,2,450.97935,True,True
299.0,1,451.536927,True,True
296.446628,6,452.202982,True,True
299.982046,3,452.805468,True,True
299.741473,2,453.387329,True,True
297.476335,3,453.99611,True,True
297.538073,3,454.594593,True,True
299.767952,3,455.192495,True,True
299.0,1,455.760791,True,True
158.171334,3,456.340545,True,False
298.318817,3,456.965938,True,True
298.310092,3,457.624664,True,True
140.94239,2,458.600261,True,False
296.205295,4,459.228583,True,True
299.0,1,459.823945,True,True
296.23158,6,460.475733,True,True
294.023167,7,461.139431,True,True
296.166,4,461.763115,True,True
298.415903,2,462.349404,True,True
299.0,1,462.903898,True,True
299.0,1,463.49235,True,True
298.649534,4,464.116455,True,True
295.040497,5,464.741654,True,True
297.24373,4,465.344235,True,True
299.0,1,465.929852,True,True
298.582313,3,466.550317,True,True
293.51752,7,467.266689,True,True
299.608567,2,467.87889,True,True
299.0,1,468.450991,True,True
299.0,1,469.015977,True,True
296.424236,4,469.641271,True,True
298.647554,2,470.219012,True,True
299.0,1,470.789577,True,True
292.585392,9,471.491735,True,True
299.0,1,472.054748,True,True
299.0,1,472.613828,True,True
299.915045,3,473.2422,True,True
299.0,1,473.860526,True,True
298.442046,2,474.477493,True,True
299.0,1,475.059779,True,True
299.046999,3,475.669006,True,True
299.68435,2,476.278999,True,True
299.473156,2,476.888311,True,True
299.0,1,477.461112,True,True
297.344317,3,478.056473,True,True
296.383452,4,478.6818,True,True
299.0,1,479.25769,True,True
299.0,1,479.822543,True,True
295.81823,5,480.452976,True,True
296.46172,3,481.033011,True,True
299.0,1,481.602653,True,True
299.574638,2,482.200058,True,True
299.783384,3,482.801111,True,True
289.764899,12,483.557109,True,True
298.825467,4,484.174253,True,True
297.744189,5,484.810559,True,True
296.293247,5,485.459505,True,True
294.769702,5,486.109227,True,True
297.397974,4,486.757308,True,True
290.457341,10,487.449956,True,True
294.905029,7,488.107635,True,True
298.304264,2,488.688097,True,True
299.0,1,489.289585,True,True
296.521385,4,489.93055,True,True
299.479823,3,490.538057,True,True
291.956209,10,491.259165,True,True
296.028942,4,491.896969,True,True
298.269505,3,492.516533,True,True
299.0,1,493.081254,True,True
299.0,1,493.779674,True,True
299.0,1,494.386447,True,True
299.0,1,494.963182,True,True
298.334137,3,495.568965,True,True
285.411031,14,496.344931,True,True
297.053426,3,496.945392,True,True
293.292453,6,497.607021,True,True
297.298838,3,498.204829,True,True
299.0,1,498.77416,True,True
293.861067,6,499.405707,True,True
289.392134,12,500.136558,True,True
297.984076,4,500.765312,True,True
296.310708,5,501.40723,True,True
293.858167,7,502.053977,True,True
300.715338,2,502.657488,True,True
299.0,1,503.248895,True,True
298.34506,3,503.862528,True,True
298.611057,3,504.483663,True,True
299.0,1,505.056614,True,True
290.029588,9,505.750318,True,True
299.893786,3,506.358067,True,True
299.0,1,506.909576,True,True
298.78357,4,507.523426,True,True
296.04146,4,508.139246,True,True
295.645277,5,508.766629,True,True
285.874169,14,509.53849,True,True
301.122345,2,510.121905,True,True
292.244779,9,510.828165,True,True
159.515317,2,511.429195,True,False
294.675151,7,512.093881,True,True
298.159825,3,512.690599,True,True
299.0,1,513.270111,True,True
298.549386,2,513.843105,True,True
155.990463,5,514.424415,True,False
281.340891,17,515.248896,True,True
299.713838,3,515.863503,True,True
299.0,1,516.458487,True,True
297.775317,3,517.055452,True,True
299.0,1,517.632397,True,True
293.588688,8,518.339368,True,True
299.0,1,518.916545,True,True
298.439796,2,519.514512,True,True
297.03933,4,520.147312,True,True
299.0,1,520.732061,True,True
299.0,1,521.315336,True,True
299.0,1,521.871983,True,True
299.0,1,522.436793,True,True
299.87152,3,523.025168,True,True
299.0,1,523.606758,True,True
284.935737,13,524.354791,True,True
299.629202,2,524.943683,True,True
299.15353,2,525.516305,True,True
299.0,1,526.075075,True,True
299.0,1,526.652376,True,True
299.0,1,527.249496,True,True
299.89545,3,527.859729,True,True
300.992905,2,528.451185,True,True
293.796756,7,529.139916,True,True
299.615264,2,529.711128,True,True
295.833237,6,530.36207,True,True
301.07505,2,530.963652,True,True
298.414959,4,531.597312,True,True
299.0,1,532.188439,True,True
299.0,1,532.815289,True,True
290.337561,9,533.489978,True,True
295.0861,5,534.134307,True,True
299.0,1,534.71418,True,True
291.077617,8,535.411706,True,True
300.993278,2,536.012439,True,True
299.0,1,536.603492,True,True
296.087009,4,537.223018,True,True
298.705607,2,537.797071,True,True
296.508664,6,538.443949,True,True
298.343222,2,539.037957,True,True
299.0,1,539.617561,True,True
300.299626,2,540.207407,True,True
298.270469,2,540.787114,True,True
299.316858,2,541.365897,True,True
298.385629,4,542.013954,True,True
299.579032,2,542.608222,True,True
298.602006,4,543.257017,True,True
143.606231,14,544.046386,True,False
297.299647,3,544.646976,True,True
299.505157,2,545.239114,True,True
293.931097,6,545.904629,True,True
297.11964,5,546.545083,True,True
298.629064,4,547.16329,True,True
298.356911,3,547.760899,True,True
286.736574,13,548.507799,True,True
296.000847,4,549.136839,True,True
298.489774,4,549.767302,True,True
299.0,1,550.363364,True,True
297.191145,3,550.967684,True,True
290.726568,9,551.679301,True,True
299.70198,2,552.265504,True,True
298.116729,4,552.903161,True,True
298.31583,2,553.491005,True,True
299.0,1,554.048962,True,True
299.455772,2,554.653571,True,True
297.209756,3,555.248668,True,True
298.710475,4,555.860146,True,True
300.811259,2,556.41384,True,True
295.188414,5,557.038722,True,True
299.0,1,557.622837,True,True
298.606432,4,558.251009,True,True
288.663433,10,558.957474,True,True
298.397203,3,559.583354,True,True
298.200473,2,560.173295,True,True
297.478514,5,560.819854,True,True
300.472439,2,561.430327,True,True
299.0,1,562.020241,True,True
299.0,1,562.60183,True,True
293.409997,7,563.265116,True,True
295.933862,6,563.909096,True,True
297.194263,5,564.542832,True,True
299.10855,2,565.152346,True,True
299.0,1,565.707196,True,True
296.958595,4,566.338522,True,True
298.924609,2,566.934846,True,True
284.978306,13,567.721047,True,True
299.0,1,568.296316,True,True
291.244719,8,568.979721,True,True
299.469083,2,569.550867,True,True
297.024137,3,570.167116,True,True
284.630473,14,570.955688,True,True
299.0,1,571.546922,True,True
295.921714,4,572.165633,True,True
299.0,1,572.760684,True,True
298.344783,3,573.372102,True,True
290.873481,9,574.080816,True,True
293.78979,6,574.742032,True,True
299.0,1,575.30739,True,True
298.376708,3,575.915378,True,True
284.864453,15,576.725055,True,True
294.534527,5,577.3687,True,True
295.680254,6,578.036946,True,True
299.702703,3,578.637823,True,True
297.284971,5,579.272322,True,True
292.871972,7,579.946357,True,True
300.250288,2,580.537026,True,True
295.729127,4,581.156485,True,True
298.987445,3,581.776395,True,True
299.492809,3,582.390416,True,True
291.913188,9,583.092328,True,True
291.570836,8,583.765248,True,True
297.408008,3,584.376244,True,True
299.0,1,584.951937,True,True
299.377262,3,585.554248,True,True
298.415222,3,586.169209,True,True
295.479474,4,586.796185,True,True
296.833044,3,587.410242,True,True
299.532631,2,588.001802,True,True
301.009244,2,588.602367,True,True
298.530489,3,589.221456,True,True
296.073716,5,589.855017,True,True
299.444722,3,590.481992,True,True
299.385128,3,591.080132,True,True
298.478775,3,591.693147,True,True
294.841326,5,592.337028,True,True
288.646641,11,593.102635,True,True
298.874007,3,593.702088,True,True
299.0,1,594.28079,True,True
293.630197,7,594.94878,True,True
298.34836,4,595.598151,True,True
299.613831,2,596.209313,True,True
299.0,1,596.77914,True,True
298.14011,2,597.385057,True,True
299.469536,2,597.979848,True,True
295.881448,5,598.608543,True,True
298.08059,2,599.200246,True,True
291.944757,8,599.893605,True,True
290.029015,9,600.590442,True,True
292.450635,7,601.253676,True,True
297.21139,3,601.866924,True,True
296.211832,6,602.510009,True,True
293.707866,6,603.120588,True,True
296.18739,3,603.755757,True,True
301.010231,2,604.350104,True,True
298.981485,2,604.950466,True,True
294.294466,8,605.623318,True,True
298.344679,3,606.20513,True,True
158.432096,3,606.799419,True,False
300.981097,2,607.376744,True,True
299.442302,2,607.983095,True,True
299.0,1,608.563682,True,True
289.992868,9,609.257186,True,True
299.0,1,609.818285,True,True
297.21984,4,610.451869,True,True
157.353908,4,611.053209,True,False
297.347746,5,611.685144,True,True
298.826336,4,612.320695,True,True
295.699915,6,612.978013,True,True
299.0,1,613.542892,True,True
299.0,1,614.130301,True,True
297.711236,5,614.758984,True,True
299.0,1,615.34405,True,True
159.570207,2,615.945459,True,False
298.465256,2,616.536824,True,True
299.640474,3,617.145198,True,True
298.705051,2,617.726202,True,True
137.138457,3,618.666886,True,False
292.593357,7,619.342472,True,True
298.34972,2,619.943675,True,True
294.511623,6,620.572009,True,True
298.60131,2,621.145937,True,True
296.132984,5,621.761353,True,True
286.417539,12,622.521814,True,True
294.495706,6,623.176687,True,True
296.3205,4,623.82085,True,True
291.21691,8,624.498419,True,True
299.429199,2,625.06611,True,True
294.631517,7,625.728842,True,True
300.971611,2,626.307029,True,True
291.180878,8,627.000042,True,True
